Sector,Indicator,Unit,Country,Year,Variable,Value
Oil and Gas,Oil and Gas activity: production,Mtoe,AR,2025,projected_current_policy_min,68.4996
Oil and Gas,Oil and Gas activity: production,Mtoe,AR,2025,projected_current_policy_min,88.6107
Electricity,Electricity activity (per capita),kWh / cap,AR,2025,projected_current_policy_min,3033.24504993793
Electricity,Electricity activity (per capita),kWh / cap,AR,2030,projected_current_policy_min,3562.2105298456604
Electricity,Electricity activity (per capita),kWh / cap,AR,2025,projected_current_policy_min,3033.24504993793
Electricity,Electricity activity (per capita),kWh / cap,AR,2030,projected_current_policy_min,4281.951416638611
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2015,projected_current_policy_min,0.0
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2020,projected_current_policy_min,0.0
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2025,projected_current_policy_min,154.427152907649
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2030,projected_current_policy_min,145.251396648044
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2015,projected_current_policy_min,0.0
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2020,projected_current_policy_min,0.0
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2025,projected_current_policy_min,201.805274607839
Electricity,Electricity emissions intensity,gCO2 / kWh,AR,2030,projected_current_policy_min,170.782748132592
Electricity,Share of renewable electricity generation,% renewables,AR,2015,projected_current_policy_min,31.0
Electricity,Share of renewable electricity generation,% renewables,AR,2020,projected_current_policy_min,36.0
Electricity,Share of renewable electricity generation,% renewables,AR,2025,projected_current_policy_min,46.0
Electricity,Share of renewable electricity generation,% renewables,AR,2030,projected_current_policy_min,49.0
Electricity,Share of renewable electricity generation,% renewables,AR,2015,projected_current_policy_min,31.0
Electricity,Share of renewable electricity generation,% renewables,AR,2020,projected_current_policy_min,38.22222222222221
Electricity,Share of renewable electricity generation,% renewables,AR,2025,projected_current_policy_min,51.0
Electricity,Share of renewable electricity generation,% renewables,AR,2030,projected_current_policy_min,54.0
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2015,projected_current_policy_min,2.3271979091364
