Name,Type,Breed,Outcome Type,Days in Shelter
REMY,DOG,BEAGLE,RETURN TO OWNER,3
*RONDE,DOG,CHIHUAHUA SH,ADOPTION,49
*SNOOP,CAT,DOMESTIC SH,ADOPTION,38
FIFI,CAT,SIAMESE,ADOPTION,6
CINNAMON,DOG,PIT BULL,RETURN TO OWNER,1
*MERLIN,CAT,DOMESTIC SH,ADOPTION,20
BIGGY,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
*ANDY,CAT,DOMESTIC SH,ADOPTION,18
*ANNE,CAT,DOMESTIC SH,ADOPTION,18
RICKY,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,1
CALISTA,DOG,LABRADOR RETR,RETURN TO OWNER,0
COCO,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
PENNEY,CAT,DOMESTIC LH,RETURN TO OWNER,1
*BARB,DOG,TR WALKER HOUND/MIX,,0
*KELSEY,CAT,DOMESTIC SH,TRANSFER,81
,CAT,DOMESTIC MH,TRANSFER,1
,CAT,DOMESTIC MH,RETURN TO OWNER,4
VERSACE,DOG,PIT BULL,RETURN TO OWNER,1
RUFUS,DOG,PIT BULL,RETURN TO OWNER,3
,CAT,DOMESTIC SH,EUTHANIZE,1
*SUSIE,CAT,DOMESTIC SH,TRANSFER,86
ANNIE,DOG,BOXER/PIT BULL,ADOPTION,100
BUBBA,DOG,PIT BULL,RETURN TO OWNER,0
,CAT,DOMESTIC SH,RETURN TO OWNER,9
KITAH,DOG,BORDER COLLIE,RETURN TO OWNER,3
*PIPPA,DOG,ENG FOXHOUND/MIX,ADOPTION,46
BANDIT,DOG,MIN PINSCHER/MIX,RETURN TO OWNER,0
DOLLY,DOG,POODLE MIN,ADOPTION,12
DOMINO,CAT,DOMESTIC SH,ADOPTION,7
JOJO,CAT,DOMESTIC SH,RETURN TO OWNER,15
JESSICA AGUIRRE,CAT,DOMESTIC SH,ADOPTION,14
LANA,DOG,AUST CATTLE DOG/MIX,TRANSFER,92
,CAT,DOMESTIC MH,TRANSFER,1
,CAT,DOMESTIC MH,TRANSFER,1
*KATE,DOG,ENG FOXHOUND/MIX,,0
BUDDY,DOG,GERM SHEPHERD/MIX,ADOPTION,37
,OTHER,POLISH,TRANSFER,19
BECKY,DOG,YORKSHIRE TERR,RETURN TO OWNER,0
,CAT,DOMESTIC MH,TRANSFER,1
MENDO,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
MICHIO,DOG,SHIBA INU,RETURN TO OWNER,1
,CAT,DOMESTIC SH,TRANSFER,1
,CAT,DOMESTIC SH,EUTHANIZE,0
*RIO,DOG,CHIHUAHUA SH/MIX,ADOPTION,27
AUGGIE,DOG,CHIHUAHUA SH,ADOPTION,14
KANE,DOG,PIT BULL,RETURN TO OWNER,0
HUMO,DOG,GERM SHEPHERD,RETURN TO OWNER,1
,CAT,DOMESTIC MH,DIED,0
KALI,CAT,DOMESTIC SH,EUTHANIZE,21
ACHILLES,DOG,PIT BULL,ADOPTION,66
SCOOTER,CAT,DOMESTIC SH,RETURN TO OWNER,10
BISHOP,CAT,SIAMESE/MIX,ADOPTION,7
OSO,DOG,GERM SHEPHERD,RETURN TO OWNER,1
*LITTLE E,DOG,CAIRN TERRIER/MIX,ADOPTION,39
ANGEL,CAT,DOMESTIC SH,ADOPTION,10
NORBERT,DOG,CHIHUAHUA SH,ADOPTION,19
WALDO,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,4
HARLEY,DOG,RAT TERRIER,ADOPTION,12
*PERSEPHONE,DOG,SIBERIAN HUSKY,ADOPTION,33
*JAN,DOG,PLOTT HOUND/MIX,ADOPTION,35
ELLE,DOG,ROTTWEILER,RETURN TO OWNER,0
,CAT,DOMESTIC SH,EUTHANIZE,0
PEACH,CAT,DOMESTIC SH,ADOPTION,18
BADGER,DOG,CATAHOULA/LABRADOR RETR,RETURN TO OWNER,6
RUFUS,DOG,PIT BULL/MIX,RETURN TO OWNER,17
CHICO,DOG,GERM SHEPHERD,RETURN TO OWNER,0
PRINCESS,DOG,GERM SHEPHERD,RTOS,0
,CAT,DOMESTIC MH,EUTHANIZE,0
OSO,DOG,GERM SHEPHERD,RTOS,0
RABO,DOG,QUEENSLAND HEEL/MIX,RETURN TO OWNER,0
*CIDER,OTHER,REX,,0
,OTHER,RABBIT LH,,0
MELISSA,DOG,SIBERIAN HUSKY,EUTHANIZE,62
PATTON,CAT,DOMESTIC SH,,0
PAPAS,DOG,PIT BULL,EUTHANIZE,20
,DOG,PIT BULL,TRANSFER,28
*TRIXIE,DOG,CHIHUAHUA SH,RETURN TO OWNER,0
PLUTO,DOG,CHIHUAHUA SH,RETURN TO OWNER,3
,OTHER,CHICKEN,TRANSFER,14
*TIBURON,DOG,PIT BULL,,0
*BIANCA,DOG,MASTIFF/MIX,ADOPTION,66
DOMINO,CAT,DOMESTIC SH,ADOPTION,2
X,DOG,PIT BULL,RETURN TO OWNER,5
,DOG,CHIHUAHUA SH,EUTHANIZE,0
GARBO,DOG,BOXER,RETURN TO OWNER,0
TANK,DOG,GERM SHEPHERD,RETURN TO OWNER,13
,CAT,SIAMESE,RETURN TO OWNER,15
SHASTA,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
CHAMOMILE,CAT,DOMESTIC LH,ADOPTION,81
CHARLIE,DOG,CAIRN TERRIER/MIX,RETURN TO OWNER,3
,CAT,DOMESTIC MH,EUTHANIZE,0
,CAT,DOMESTIC SH,DISPOSAL,1
,CAT,DOMESTIC SH,DISPOSAL,2
LUNA,DOG,PIT BULL/MIX,ADOPTION,127
,CAT,DOMESTIC MH,EUTHANIZE,0
MILO,DOG,BASSET HOUND,RETURN TO OWNER,0
PEBBLES,DOG,RAT TERRIER/MIX,ADOPTION,15
TRIXY,DOG,CHIHUAHUA SH/POMERANIAN,RETURN TO OWNER,0
,OTHER,BAT,EUTHANIZE,0
,CAT,DOMESTIC SH,EUTHANIZE,0
ONYX,OTHER,RABBIT SH,RETURN TO OWNER,1
LUCY,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
ROCKY,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,0
,OTHER,BARRED ROCK,TRANSFER,17
*BIANCA,DOG,PIT BULL/MIX,TRANSFER,286
ZOEY,DOG,CHIHUAHUA SH,RETURN TO OWNER,3
ZOEY,DOG,CHIHUAHUA SH,ADOPTION,18
*SNICKERS,DOG,PIT BULL/MIX,EUTHANIZE,87
COOKIE,DOG,POMERANIAN,RETURN TO OWNER,0
MILES,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,5
BELLA,DOG,GERM SHEPHERD,RETURN TO OWNER,0
DIXON,DOG,GERM SH POINT/PIT BULL,EUTHANIZE,38
IXI,DOG,CHIHUAHUA SH/YORKSHIRE TERR,TRANSFER,23
ROSE,DOG,GREAT PYRENEES,TRANSFER,65
ROCKY,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,2
FRANKIE,DOG,CHIHUAHUA SH,TRANSFER,24
HEINEKEN,DOG,GOLDEN RETR,RETURN TO OWNER,0
*JADA,CAT,DOMESTIC SH,ADOPTION,27
*MORTON,DOG,PEKINGESE/MIX,TRANSFER,36
TINA,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,7
BOBBY,DOG,LABRADOR RETR,RETURN TO OWNER,0
,CAT,DOMESTIC SH,EUTHANIZE,33
GIANNI,DOG,LABRADOR RETR,RETURN TO OWNER,17
KING,DOG,PIT BULL/MIX,RETURN TO OWNER,9
TRIXIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
*GLADYS,DOG,PEKINGESE/MIX,TRANSFER,36
ABBY,DOG,ENG SPRNGR SPAN/MIX,RETURN TO OWNER,25
CHUCKY,DOG,PIT BULL,RETURN TO OWNER,1
GIZMO,CAT,DOMESTIC MH,ADOPTION,39
*WINTER,DOG,SIBERIAN HUSKY,ADOPTION,97
BALOO,DOG,PIT BULL,EUTHANIZE,25
*AURORA,DOG,SIBERIAN HUSKY,ADOPTION,86
,CAT,DOMESTIC SH,TRANSFER,1
,CAT,DOMESTIC SH,TRANSFER,1
,CAT,DOMESTIC SH,TRANSFER,1
,CAT,DOMESTIC SH,TRANSFER,1
BROWNIE,DOG,MIN PINSCHER,RETURN TO OWNER,1
,CAT,DOMESTIC MH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,1
PEPPER,CAT,DOMESTIC MH,RETURN TO OWNER,4
,CAT,DOMESTIC SH,TRANSFER,2
,CAT,DOMESTIC SH,TRANSFER,0
JAMESON,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
