datetime,date,gage_height_ft
2008-05-28 23:00:00,2008-05-28,2.67
2008-05-29 23:00:00,2008-05-29,2.61
2008-05-30 23:00:00,2008-05-30,2.51
2008-05-31 23:00:00,2008-05-31,2.51
2008-06-01 23:00:00,2008-06-01,3.76
2008-06-02 23:00:00,2008-06-02,3.20
2008-06-03 23:00:00,2008-06-03,3.00
2008-06-04 23:00:00,2008-06-04,2.86
2008-06-05 23:00:00,2008-06-05,2.84
2008-06-06 23:00:00,2008-06-06,2.72
2008-06-07 23:00:00,2008-06-07,2.66
2008-06-08 23:00:00,2008-06-08,2.62
2008-06-09 23:00:00,2008-06-09,2.75
2008-06-10 23:00:00,2008-06-10,2.53
2008-06-11 23:00:00,2008-06-11,2.51
2008-06-12 23:00:00,2008-06-12,2.47
2008-06-13 23:00:00,2008-06-13,2.67
2008-06-14 23:00:00,2008-06-14,2.67
2008-06-15 23:00:00,2008-06-15,2.56
2008-06-16 23:00:00,2008-06-16,2.48
2008-06-17 23:00:00,2008-06-17,2.57
2008-06-18 23:00:00,2008-06-18,2.47
2008-06-19 23:00:00,2008-06-19,2.42
2008-06-20 23:00:00,2008-06-20,2.41
2008-06-21 23:00:00,2008-06-21,2.61
2008-06-22 23:00:00,2008-06-22,2.76
2008-06-23 23:00:00,2008-06-23,2.60
2008-06-24 23:00:00,2008-06-24,2.47
2008-06-25 23:00:00,2008-06-25,2.42
2008-06-26 23:00:00,2008-06-26,2.39
2008-06-27 23:00:00,2008-06-27,2.33
2008-06-28 23:00:00,2008-06-28,2.33
2008-06-29 23:00:00,2008-06-29,2.81
2008-06-30 23:00:00,2008-06-30,2.60
2008-07-01 23:00:00,2008-07-01,2.51
2008-07-02 23:00:00,2008-07-02,2.44
2008-07-03 23:00:00,2008-07-03,2.39
2008-07-04 23:00:00,2008-07-04,2.34
2008-07-05 23:00:00,2008-07-05,2.39
2008-07-06 23:00:00,2008-07-06,2.36
2008-07-07 23:00:00,2008-07-07,2.39
2008-07-08 23:00:00,2008-07-08,2.26
2008-07-09 23:00:00,2008-07-09,2.24
2008-07-10 23:00:00,2008-07-10,2.27
2008-07-11 23:00:00,2008-07-11,2.30
2008-07-12 23:00:00,2008-07-12,2.23
2008-07-13 23:00:00,2008-07-13,2.36
2008-07-14 23:00:00,2008-07-14,2.29
2008-07-15 23:00:00,2008-07-15,2.09
2008-07-16 23:00:00,2008-07-16,2.14
2008-07-17 23:00:00,2008-07-17,2.15
2008-07-18 23:00:00,2008-07-18,2.09
2008-07-19 23:00:00,2008-07-19,2.07
2008-07-20 23:00:00,2008-07-20,2.10
2008-07-21 23:00:00,2008-07-21,2.09
2008-07-22 23:00:00,2008-07-22,2.07
2008-07-23 23:00:00,2008-07-23,1.99
2008-07-24 23:00:00,2008-07-24,2.00
2008-07-25 23:00:00,2008-07-25,2.58
2008-07-26 23:00:00,2008-07-26,2.35
2008-07-27 23:00:00,2008-07-27,2.31
2008-07-28 23:00:00,2008-07-28,2.28
2008-07-29 23:00:00,2008-07-29,2.19
2008-07-30 23:00:00,2008-07-30,2.13
2008-07-31 23:00:00,2008-07-31,2.14
2008-08-01 23:00:00,2008-08-01,2.27
2008-08-02 23:00:00,2008-08-02,2.31
2008-08-03 23:00:00,2008-08-03,2.23
2008-08-04 23:00:00,2008-08-04,2.17
2008-08-05 23:00:00,2008-08-05,2.13
2008-08-06 23:00:00,2008-08-06,2.09
2008-08-07 23:00:00,2008-08-07,2.11
2008-08-08 23:00:00,2008-08-08,2.02
2008-08-09 23:00:00,2008-08-09,2.09
2008-08-10 23:00:00,2008-08-10,2.10
2008-08-11 23:00:00,2008-08-11,2.05
2008-08-12 23:00:00,2008-08-12,2.09
2008-08-13 23:00:00,2008-08-13,2.00
2008-08-14 23:00:00,2008-08-14,1.97
2008-08-15 23:00:00,2008-08-15,2.01
2008-08-16 23:00:00,2008-08-16,1.98
2008-08-17 23:00:00,2008-08-17,1.98
2008-08-18 23:00:00,2008-08-18,1.97
2008-08-19 23:00:00,2008-08-19,1.93
2008-08-20 23:00:00,2008-08-20,1.90
2008-08-21 23:00:00,2008-08-21,1.90
2008-08-22 23:00:00,2008-08-22,1.90
2008-08-23 23:00:00,2008-08-23,1.96
2008-08-24 23:00:00,2008-08-24,1.98
2008-08-25 23:00:00,2008-08-25,2.19
2008-08-26 23:00:00,2008-08-26,2.58
2008-08-27 23:00:00,2008-08-27,2.44
2008-08-28 23:00:00,2008-08-28,2.48
2008-08-29 23:00:00,2008-08-29,2.87
2008-08-30 23:00:00,2008-08-30,2.59
2008-08-31 23:00:00,2008-08-31,2.53
2008-09-01 23:00:00,2008-09-01,2.46
2008-09-02 23:00:00,2008-09-02,2.40
2008-09-03 23:00:00,2008-09-03,2.33
2008-09-04 23:00:00,2008-09-04,2.29
2008-09-05 23:00:00,2008-09-05,2.29
2008-09-06 23:00:00,2008-09-06,2.22
2008-09-07 23:00:00,2008-09-07,2.24
2008-09-08 23:00:00,2008-09-08,2.19
2008-09-09 23:00:00,2008-09-09,2.17
2008-09-10 23:00:00,2008-09-10,2.21
2008-09-11 23:00:00,2008-09-11,2.12
2008-09-12 23:00:00,2008-09-12,2.11
2008-09-13 23:00:00,2008-09-13,2.07
2008-09-14 23:00:00,2008-09-14,2.09
2008-09-15 23:00:00,2008-09-15,2.07
2008-09-16 23:00:00,2008-09-16,2.03
2008-09-17 23:00:00,2008-09-17,2.00
2008-09-18 23:00:00,2008-09-18,2.02
2008-09-19 23:00:00,2008-09-19,2.03
2008-09-20 23:00:00,2008-09-20,1.99
2008-09-21 23:00:00,2008-09-21,2.03
2008-09-22 23:00:00,2008-09-22,2.01
2008-09-23 23:00:00,2008-09-23,2.01
2008-09-24 23:00:00,2008-09-24,2.00
2008-09-25 23:00:00,2008-09-25,1.80
2008-09-26 23:00:00,2008-09-26,1.77
2008-09-27 23:00:00,2008-09-27,1.79
2008-09-28 23:00:00,2008-09-28,1.94
2008-09-29 23:00:00,2008-09-29,1.93
2008-09-30 23:00:00,2008-09-30,1.98
2008-10-01 23:00:00,2008-10-01,1.92
2008-10-02 23:00:00,2008-10-02,1.95
2008-10-03 23:00:00,2008-10-03,1.93
2008-10-04 23:00:00,2008-10-04,1.92
2008-10-05 23:00:00,2008-10-05,1.96
2008-10-06 23:00:00,2008-10-06,1.91
2008-10-07 23:00:00,2008-10-07,1.98
2008-10-08 23:00:00,2008-10-08,2.68
2008-10-09 23:00:00,2008-10-09,2.30
2008-10-10 23:00:00,2008-10-10,2.18
2008-10-11 23:00:00,2008-10-11,2.11
2008-10-12 23:00:00,2008-10-12,2.13
2008-10-13 23:00:00,2008-10-13,2.09
2008-10-14 23:00:00,2008-10-14,2.11
2008-10-15 23:00:00,2008-10-15,2.05
2008-10-16 23:00:00,2008-10-16,2.18
2008-10-17 23:00:00,2008-10-17,2.08
2008-10-18 23:00:00,2008-10-18,2.01
2008-10-19 23:00:00,2008-10-19,2.18
2008-10-20 23:00:00,2008-10-20,2.16
2008-10-21 23:00:00,2008-10-21,2.04
2008-10-22 23:00:00,2008-10-22,2.13
2008-10-23 23:00:00,2008-10-23,2.03
2008-10-24 23:00:00,2008-10-24,2.75
2008-10-25 23:00:00,2008-10-25,2.44
2008-10-26 23:00:00,2008-10-26,2.37
2008-10-27 23:00:00,2008-10-27,2.36
2008-10-28 23:00:00,2008-10-28,2.34
2008-10-29 23:00:00,2008-10-29,2.24
2008-10-30 23:00:00,2008-10-30,2.29
2008-10-31 23:00:00,2008-10-31,2.21
2008-11-01 23:00:00,2008-11-01,2.22
2008-11-02 23:00:00,2008-11-02,2.24
2008-11-03 23:00:00,2008-11-03,2.19
2008-11-04 23:00:00,2008-11-04,2.10
2008-11-05 23:00:00,2008-11-05,2.21
2008-11-06 23:00:00,2008-11-06,2.09
2008-11-07 23:00:00,2008-11-07,2.43
2008-11-08 23:00:00,2008-11-08,2.19
2008-11-09 23:00:00,2008-11-09,2.17
2008-11-10 23:00:00,2008-11-10,2.23
2008-11-11 23:00:00,2008-11-11,2.22
2008-11-12 23:00:00,2008-11-12,2.17
2008-11-13 23:00:00,2008-11-13,2.24
2008-11-14 23:00:00,2008-11-14,2.26
2008-11-15 23:00:00,2008-11-15,2.43
2008-11-16 23:00:00,2008-11-16,2.37
2008-11-17 23:00:00,2008-11-17,2.45
2008-11-18 23:00:00,2008-11-18,2.48
2008-11-19 23:00:00,2008-11-19,2.46
2008-11-20 23:00:00,2008-11-20,2.43
2008-11-21 23:00:00,2008-11-21,2.39
2008-11-22 23:00:00,2008-11-22,2.33
2008-11-23 23:00:00,2008-11-23,2.35
2008-11-24 23:00:00,2008-11-24,2.41
