"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",51,173,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",51,173,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",51,173,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",51,173,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Rings","2016-01-01",51,173,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",51,173,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",55,173,NULL,NULL,NULL
"Track and Field","Men's 400 metres","2016-01-01",110,15,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",251,19,NULL,NULL,NULL
"Track and Field","Men's 10,000 metres","2016-01-01",251,19,NULL,NULL,NULL
"Track and Field","Women's 200 metres","2016-01-01",273,28,NULL,NULL,NULL
"Track and Field","Men's Decathlon","2016-01-01",402,71,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",412,63,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Freestyle","2016-01-01",430,174,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Team All-Around","2016-01-01",455,152,NULL,"1",NULL
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",455,152,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Horse Vault","2016-01-01",455,152,NULL,"1",NULL
"Gymnastics","Gymnastics Men's Rings","2016-01-01",455,152,"1",NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",465,11,NULL,NULL,NULL
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","2016-01-01",465,11,"1",NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",511,179,NULL,NULL,NULL
"Track and Field","Women's Shot Put","2016-01-01",533,18,NULL,NULL,NULL
"Track and Field","Women's 400 metres","2016-01-01",551,80,NULL,NULL,NULL
"Track and Field","Men's Shot Put","2016-01-01",554,70,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",574,42,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",578,54,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",593,95,NULL,NULL,NULL
"Track and Field","Men's 100 metres","2016-01-01",611,140,NULL,NULL,NULL
"Track and Field","Women's 100 metres","2016-01-01",613,160,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",650,34,NULL,NULL,NULL
"Swimming","Swimming Men's 4 x 100 metres Medley Relay","2016-01-01",650,34,NULL,NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",668,72,NULL,NULL,NULL
"Swimming","Swimming Men's 200 metres Freestyle","2016-01-01",720,59,NULL,NULL,NULL
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",720,59,NULL,NULL,NULL
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",720,59,NULL,NULL,NULL
"Track and Field","Men's 100 metres","2016-01-01",804,154,NULL,NULL,NULL
"Track and Field","Men's 200 metres","2016-01-01",804,154,NULL,NULL,NULL
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",804,154,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Butterfly","2016-01-01",811,195,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",823,11,NULL,NULL,NULL
"Track and Field","Women's Shot Put","2016-01-01",846,131,NULL,"1",NULL
"Track and Field","Women's 400 metres","2016-01-01",900,15,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",915,61,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",931,192,NULL,NULL,NULL
"Track and Field","Men's High Jump","2016-01-01",961,195,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",1017,195,"1",NULL,NULL
"Swimming","Swimming Men's 100 metres Freestyle","2016-01-01",1017,195,"1",NULL,NULL
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","2016-01-01",1017,195,NULL,NULL,"1"
"Swimming","Swimming Men's 4 x 100 metres Medley Relay","2016-01-01",1017,195,NULL,NULL,"1"
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",1052,19,NULL,NULL,NULL
