"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",126,89,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Super G","2014-01-01",463,102,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",463,102,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",463,102,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",532,70,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",532,70,NULL,NULL,NULL
"Biathlon","Biathlon Men's 10 kilometres Sprint","2014-01-01",535,18,NULL,NULL,NULL
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit","2014-01-01",535,18,NULL,NULL,NULL
"Biathlon","Biathlon Men's 20 kilometres","2014-01-01",535,18,NULL,NULL,NULL
"Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay","2014-01-01",535,18,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Downhill","2014-01-01",679,151,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Combined","2014-01-01",679,151,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",1053,179,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",1081,185,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",1081,185,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres","2014-01-01",1200,92,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon","2014-01-01",1200,92,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 15 kilometres","2014-01-01",1648,96,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 50 kilometres","2014-01-01",1648,96,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Downhill","2014-01-01",2414,73,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Super G","2014-01-01",2414,73,NULL,NULL,NULL
